INDEX,X,Y,Loc,Moment,Type
0,0,15,Right,14.31455158,Beam
1,6,15,Left,14.31455158,Beam
2,6,15,Right,19.57545516,Beam
3,11,15,Left,19.57545516,Beam
4,11,15,Right,28.38440998,Beam
5,17,15,Left,28.38440998,Beam
6,17,15,Right,23.44976399,Beam
7,22,15,Left,23.44976399,Beam
8,22,15,Right,23.61289278,Beam
9,28,15,Left,23.61289278,Beam
10,28,15,Right,11.6229265,Beam
11,33,15,Left,11.6229265,Beam
12,0,11.5,Right,38.21976989,Beam
13,6,11.5,Left,38.21976989,Beam
14,6,11.5,Right,52.26635199,Beam
15,11,11.5,Left,52.26635199,Beam
16,11,11.5,Right,75.78621038,Beam
17,17,11.5,Left,75.78621038,Beam
18,17,11.5,Right,62.61073415,Beam
19,22,11.5,Left,62.61073415,Beam
20,22,11.5,Right,63.04628709,Beam
21,28,11.5,Left,63.04628709,Beam
22,28,11.5,Right,31.03314649,Beam
23,33,11.5,Left,31.03314649,Beam
24,0,8,Right,54.20455959,Beam
25,6,8,Left,54.20455959,Beam
26,6,8,Right,74.12589346,Beam
27,11,8,Left,74.12589346,Beam
28,11,8,Right,107.4825455,Beam
29,17,8,Left,107.4825455,Beam
30,17,8,Right,88.79664321,Beam
31,22,8,Left,88.79664321,Beam
32,22,8,Right,89.41435899,Beam
33,28,8,Left,89.41435899,Beam
34,28,8,Right,44.01224924,Beam
35,33,8,Left,44.01224924,Beam
36,0,4.5,Right,72.72244268,Beam
37,6,4.5,Left,72.72244268,Beam
38,6,4.5,Right,99.44949427,Beam
39,11,4.5,Left,99.44949427,Beam
40,11,4.5,Right,144.2017667,Beam
41,17,4.5,Left,144.2017667,Beam
42,17,4.5,Right,119.1322067,Beam
43,22,4.5,Left,119.1322067,Beam
44,22,4.5,Right,119.9609525,Beam
45,28,4.5,Left,119.9609525,Beam
46,28,4.5,Right,59.04813722,Beam
47,33,4.5,Left,59.04813722,Beam
48,0,11.5,Top,14.31455158,Col
49,0,15,Bot,14.31455158,Col
50,6,11.5,Top,33.89000674,Col
51,6,15,Bot,33.89000674,Col
52,11,11.5,Top,47.95986514,Col
53,11,15,Bot,47.95986514,Col
54,17,11.5,Top,51.83417397,Col
55,17,15,Bot,51.83417397,Col
56,22,11.5,Top,47.06265678,Col
57,22,15,Bot,47.06265678,Col
58,28,11.5,Top,35.23581929,Col
59,28,15,Bot,35.23581929,Col
60,33,11.5,Top,11.6229265,Col
61,33,15,Bot,11.6229265,Col
62,0,8,Top,23.90521831,Col
63,0,11.5,Bot,23.90521831,Col
64,6,8,Top,56.59611514,Col
65,6,11.5,Bot,56.59611514,Col
66,11,8,Top,80.09269724,Col
67,11,11.5,Bot,80.09269724,Col
68,17,8,Top,86.56277057,Col
69,17,11.5,Bot,86.56277057,Col
70,22,8,Top,78.59436446,Col
71,22,11.5,Bot,78.59436446,Col
72,28,8,Top,58.8436143,Col
73,28,11.5,Bot,58.8436143,Col
74,33,8,Top,19.41021999,Col
75,33,11.5,Bot,19.41021999,Col
76,0,4.5,Top,30.29934128,Col
77,0,8,Bot,30.29934128,Col
78,6,4.5,Top,71.73433791,Col
79,6,8,Bot,71.73433791,Col
80,11,4.5,Top,101.5157417,Col
81,11,8,Bot,101.5157417,Col
82,17,4.5,Top,109.7164182,Col
83,17,8,Bot,109.7164182,Col
84,22,4.5,Top,99.61663773,Col
85,22,8,Bot,99.61663773,Col
86,28,4.5,Top,74.58299393,Col
87,28,8,Bot,74.58299393,Col
88,33,4.5,Top,24.60202925,Col
89,33,8,Bot,24.60202925,Col
90,0,0,Top,42.4231014,Col
91,0,4.5,Bot,42.4231014,Col
92,6,0,Top,100.437599,Col
93,6,4.5,Bot,100.437599,Col
94,11,0,Top,142.1355192,Col
95,11,4.5,Bot,142.1355192,Col
96,17,0,Top,153.6175552,Col
97,17,4.5,Bot,153.6175552,Col
98,22,0,Top,139.4765214,Col
99,22,4.5,Bot,139.4765214,Col
100,28,0,Top,104.4260958,Col
101,28,4.5,Bot,104.4260958,Col
102,33,0,Top,34.44610797,Col
103,33,4.5,Bot,34.44610797,Col
