INDEX,X,Y,Loc,Axial2,Type
0,0,11.5,Top,0.29451741,Col
1,0,15,Bot,0.29451741,Col
2,5,11.5,Top,0.224763286,Col
3,5,15,Bot,0.224763286,Col
4,10,11.5,Top,0.155009163,Col
5,10,15,Bot,0.155009163,Col
6,15,11.5,Top,0.08525504,Col
7,15,15,Bot,0.08525504,Col
8,20,11.5,Top,0.015500916,Col
9,20,15,Bot,0.015500916,Col
10,26,11.5,Top,-0.068204032,Col
11,26,15,Bot,-0.068204032,Col
12,32,11.5,Top,-0.15190898,Col
13,32,15,Bot,-0.15190898,Col
14,38,11.5,Top,-0.235613928,Col
15,38,15,Bot,-0.235613928,Col
16,44,11.5,Top,-0.319318876,Col
17,44,15,Bot,-0.319318876,Col
18,0,8,Top,1.080980452,Col
19,0,11.5,Bot,1.080980452,Col
20,5,8,Top,0.824958766,Col
21,5,11.5,Bot,0.824958766,Col
22,10,8,Top,0.56893708,Col
23,10,11.5,Bot,0.56893708,Col
24,15,8,Top,0.312915394,Col
25,15,11.5,Bot,0.312915394,Col
26,20,8,Top,0.056893708,Col
27,20,11.5,Bot,0.056893708,Col
28,26,8,Top,-0.250332315,Col
29,26,11.5,Bot,-0.250332315,Col
30,32,8,Top,-0.557558338,Col
31,32,11.5,Bot,-0.557558338,Col
32,38,8,Top,-0.864784362,Col
33,38,11.5,Bot,-0.864784362,Col
34,44,8,Top,-1.172010385,Col
35,44,11.5,Bot,-1.172010385,Col
36,0,4.5,Top,2.196693647,Col
37,0,8,Bot,2.196693647,Col
38,5,4.5,Top,1.676424099,Col
39,5,8,Bot,1.676424099,Col
40,10,4.5,Top,1.156154551,Col
41,10,8,Bot,1.156154551,Col
42,15,4.5,Top,0.635885003,Col
43,15,8,Bot,0.635885003,Col
44,20,4.5,Top,0.115615455,Col
45,20,8,Bot,0.115615455,Col
46,26,4.5,Top,-0.508708002,Col
47,26,8,Bot,-0.508708002,Col
48,32,4.5,Top,-1.13303146,Col
49,32,8,Bot,-1.13303146,Col
50,38,4.5,Top,-1.757354918,Col
51,38,8,Bot,-1.757354918,Col
52,44,4.5,Top,-2.381678375,Col
53,44,8,Bot,-2.381678375,Col
54,0,0,Top,3.6937416,Col
55,0,4.5,Bot,3.6937416,Col
56,5,0,Top,2.818908064,Col
57,5,4.5,Bot,2.818908064,Col
58,10,0,Top,1.944074527,Col
59,10,4.5,Bot,1.944074527,Col
60,15,0,Top,1.06924099,Col
61,15,4.5,Bot,1.06924099,Col
62,20,0,Top,0.194407453,Col
63,20,4.5,Bot,0.194407453,Col
64,26,0,Top,-0.855392792,Col
65,26,4.5,Bot,-0.855392792,Col
66,32,0,Top,-1.905193036,Col
67,32,4.5,Bot,-1.905193036,Col
68,38,0,Top,-2.95499328,Col
69,38,4.5,Bot,-2.95499328,Col
70,44,0,Top,-4.004793525,Col
71,44,4.5,Bot,-4.004793525,Col
72,0,15,Right,14.13185324,Beam
73,5,15,Left,14.13185324,Beam
74,5,15,Right,-15.14910087,Beam
75,10,15,Left,-15.14910087,Beam
76,10,15,Right,13.65713768,Beam
77,15,15,Left,13.65713768,Beam
78,15,15,Right,-15.44943112,Beam
79,20,15,Left,-15.44943112,Beam
80,20,15,Right,13.33743128,Beam
81,26,15,Left,13.33743128,Beam
82,26,15,Right,-15.56026268,Beam
83,32,15,Left,-15.56026268,Beam
84,32,15,Right,13.66760079,Beam
85,38,15,Left,13.66760079,Beam
86,38,15,Right,-14.97897831,Beam
87,44,15,Left,-14.97897831,Beam
88,0,11.5,Right,23.03194385,Beam
89,5,11.5,Left,23.03194385,Beam
90,5,11.5,Right,-26.31473058,Beam
91,10,11.5,Left,-26.31473058,Beam
92,10,11.5,Right,21.49997671,Beam
93,15,11.5,Left,21.49997671,Beam
94,15,11.5,Right,-27.28393428,Beam
95,20,11.5,Left,-27.28393428,Beam
96,20,11.5,Right,20.46824374,Beam
97,26,11.5,Left,20.46824374,Beam
98,26,11.5,Right,-27.64160171,Beam
99,32,11.5,Left,-27.64160171,Beam
100,32,11.5,Right,21.53374252,Beam
101,38,11.5,Left,21.53374252,Beam
102,38,11.5,Right,-25.76572358,Beam
103,44,11.5,Left,-25.76572358,Beam
104,0,8,Right,29.11038116,Beam
105,5,8,Left,29.11038116,Beam
106,5,8,Right,-33.53038059,Beam
107,10,8,Left,-33.53038059,Beam
108,10,8,Right,27.04771476,Beam
109,15,8,Left,27.04771476,Beam
110,15,8,Right,-34.8353328,Beam
111,20,8,Left,-34.8353328,Beam
112,20,8,Right,25.65857208,Beam
113,26,8,Left,25.65857208,Beam
114,26,8,Right,-35.31690226,Beam
115,32,8,Left,-35.31690226,Beam
116,32,8,Right,27.09317761,Beam
117,38,8,Left,27.09317761,Beam
118,38,8,Right,-32.7911883,Beam
119,44,8,Left,-32.7911883,Beam
120,0,4.5,Right,31.56869006,Beam
121,5,4.5,Left,31.56869006,Beam
122,5,4.5,Right,-36.7394149,Beam
123,10,4.5,Left,-36.7394149,Beam
124,10,4.5,Right,29.15568513,Beam
125,15,4.5,Left,29.15568513,Beam
126,15,4.5,Right,-38.26600985,Beam
127,20,4.5,Left,-38.26600985,Beam
128,20,4.5,Right,27.53060018,Beam
129,26,4.5,Left,27.53060018,Beam
130,26,4.5,Right,-38.82937263,Beam
131,32,4.5,Left,-38.82937263,Beam
132,32,4.5,Right,29.20886973,Beam
133,38,4.5,Left,29.20886973,Beam
134,38,4.5,Right,-35.87467272,Beam
135,44,4.5,Left,-35.87467272,Beam
