,X,Y,Loc,Axial,Type
0,0.0,11.5,Top,7.7496477738297,Col
1,0.0,15.0,Bot,7.7496477738297,Col
2,6.0,11.5,Top,0.5942464833148726,Col
3,6.0,15.0,Bot,0.5942464833148726,Col
4,11.0,11.5,Top,-2.323541430644439,Col
5,11.0,15.0,Bot,-2.323541430644439,Col
6,17.0,11.5,Top,2.648955243660059,Col
7,17.0,15.0,Bot,2.648955243660059,Col
8,22.0,11.5,Top,-2.85769902278168,Col
9,22.0,15.0,Bot,-2.85769902278168,Col
10,28.0,11.5,Top,4.723760077433076,Col
11,28.0,15.0,Bot,4.723760077433076,Col
12,33.0,11.5,Top,-10.53536912481159,Col
13,33.0,15.0,Bot,-10.53536912481159,Col
14,0.0,8.0,Top,26.167976321579655,Col
15,0.0,11.5,Bot,26.167976321579655,Col
16,6.0,8.0,Top,3.4444590731523483,Col
17,6.0,11.5,Bot,3.4444590731523483,Col
18,11.0,8.0,Top,-8.446265293784254,Col
19,11.0,11.5,Bot,-8.446265293784254,Col
20,17.0,8.0,Top,9.313114844417012,Col
21,17.0,11.5,Bot,9.313114844417012,Col
22,22.0,8.0,Top,-9.878383924149613,Col
23,22.0,11.5,Bot,-9.878383924149613,Col
24,28.0,8.0,Top,15.35432170619701,Col
25,28.0,11.5,Bot,15.35432170619701,Col
26,33.0,8.0,Top,-35.955222727412156,Col
27,33.0,11.5,Bot,-35.955222727412156,Col
28,0.0,4.5,Top,52.51598132706019,Col
29,0.0,8.0,Bot,52.51598132706019,Col
30,6.0,4.5,Top,7.799788398863424,Col
31,6.0,8.0,Bot,7.799788398863424,Col
32,11.0,4.5,Top,-17.285049137558083,Col
33,11.0,8.0,Bot,-17.285049137558083,Col
34,17.0,4.5,Top,18.933517058880835,Col
35,17.0,8.0,Bot,18.933517058880835,Col
36,22.0,4.5,Top,-20.013467208244585,Col
37,22.0,8.0,Bot,-20.013467208244585,Col
38,28.0,4.5,Top,30.451471921162952,Col
39,28.0,8.0,Bot,30.451471921162952,Col
40,33.0,4.5,Top,-72.40224236016473,Col
41,33.0,8.0,Bot,-72.40224236016473,Col
42,0.0,0.0,Top,87.89710852861768,Col
43,0.0,4.5,Bot,87.89710852861768,Col
44,6.0,0.0,Top,9.764535298914993,Col
45,6.0,4.5,Bot,9.764535298914993,Col
46,11.0,0.0,Top,-27.98085894713677,Col
47,11.0,4.5,Bot,-27.98085894713677,Col
48,17.0,0.0,Top,30.659545347374202,Col
49,17.0,4.5,Bot,30.659545347374202,Col
50,22.0,0.0,Top,-32.41502823281121,Col
51,22.0,4.5,Bot,-32.41502823281121,Col
52,28.0,0.0,Top,52.005610432845685,Col
53,28.0,4.5,Bot,52.005610432845685,Col
54,33.0,0.0,Top,-119.93091242780459,Col
55,33.0,4.5,Bot,-119.93091242780459,Col
56,0.0,15.0,Right,123.95258471043108,Beam
57,6.0,15.0,Left,123.95258471043108,Beam
58,6.0,15.0,Right,-145.55808962228375,Beam
59,11.0,15.0,Left,-145.55808962228375,Beam
60,11.0,15.0,Right,123.95258471043107,Beam
61,17.0,15.0,Left,123.95258471043107,Beam
62,17.0,15.0,Right,-145.55808962228375,Beam
63,22.0,15.0,Left,-145.55808962228375,Beam
64,22.0,15.0,Right,123.95258471043107,Beam
65,28.0,15.0,Left,123.95258471043107,Beam
66,28.0,15.0,Right,-145.55808962228375,Beam
67,33.0,15.0,Left,-145.55808962228375,Beam
68,0.0,11.5,Right,194.19021536187128,Beam
69,6.0,11.5,Left,194.19021536187128,Beam
70,6.0,11.5,Right,-252.41140911645013,Beam
71,11.0,11.5,Left,-252.41140911645013,Beam
72,11.0,11.5,Right,194.19021536187128,Beam
73,17.0,11.5,Left,194.19021536187128,Beam
74,17.0,11.5,Right,-252.41140911645013,Beam
75,22.0,11.5,Left,-252.41140911645013,Beam
76,22.0,11.5,Right,194.19021536187128,Beam
77,28.0,11.5,Left,194.19021536187128,Beam
78,28.0,11.5,Right,-252.41140911645013,Beam
79,33.0,11.5,Left,-252.41140911645013,Beam
80,0.0,8.0,Right,241.595823681299,Beam
81,6.0,8.0,Left,241.595823681299,Beam
82,6.0,8.0,Right,-324.5246962834487,Beam
83,11.0,8.0,Left,-324.5246962834487,Beam
84,11.0,8.0,Right,241.595823681299,Beam
85,17.0,8.0,Left,241.595823681299,Beam
86,17.0,8.0,Right,-324.5246962834487,Beam
87,22.0,8.0,Left,-324.5246962834487,Beam
88,22.0,8.0,Right,241.595823681299,Beam
89,28.0,8.0,Left,241.595823681299,Beam
90,28.0,8.0,Right,-324.5246962834487,Beam
91,33.0,8.0,Left,-324.5246962834487,Beam
92,0.0,4.5,Right,248.87579053160482,Beam
93,6.0,4.5,Left,248.87579053160482,Beam
94,6.0,4.5,Right,-342.2085651263551,Beam
95,11.0,4.5,Left,-342.2085651263551,Beam
96,11.0,4.5,Right,248.87579053160485,Beam
97,17.0,4.5,Left,248.87579053160485,Beam
98,17.0,4.5,Right,-342.2085651263551,Beam
99,22.0,4.5,Left,-342.2085651263551,Beam
100,22.0,4.5,Right,248.87579053160485,Beam
101,28.0,4.5,Left,248.87579053160485,Beam
102,28.0,4.5,Right,-342.2085651263551,Beam
103,33.0,4.5,Left,-342.2085651263551,Beam
